                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    100,                0.66061,                0.64008,                 0.8818,                0.99545,                      1,                  0.995,                0.77067,                 0.8717,                 0.5535,                 1.0285,              0.0010298,              0.0010298,              0.0010298
                    101,                0.75444,                0.66953,                0.91313,                0.99581,                      1,                  0.995,                0.75378,                0.86753,                0.56804,                 1.0235,              0.0010199,              0.0010199,              0.0010199
                    102,                0.67727,                0.68223,                 0.8838,                0.99597,                      1,                  0.995,                0.75661,                0.85458,                0.58091,                 1.0455,                0.00101,                0.00101,                0.00101
                    103,                0.68083,                0.63569,                0.89946,                 0.9961,                      1,                  0.995,                0.78049,                0.86502,                 0.5697,                 1.0781,              0.0010001,              0.0010001,              0.0010001
                    104,                0.64018,                0.58497,                0.90105,                0.99603,                      1,                  0.995,                0.76164,                0.90531,                0.56108,                 1.1072,              0.0009902,              0.0009902,              0.0009902
                    105,                0.63103,                 0.5948,                 0.8847,                0.99607,                      1,                  0.995,                0.72383,                0.95636,                0.56321,                 1.1127,              0.0009803,              0.0009803,              0.0009803
                    106,                0.76986,                0.68418,                0.95115,                0.99613,                      1,                  0.995,                0.74507,                0.97416,                0.58498,                  1.092,              0.0009704,              0.0009704,              0.0009704
                    107,                0.64356,                 0.6228,                0.89867,                0.99636,                      1,                  0.995,                0.72994,                 1.0143,                0.61692,                 1.0992,              0.0009605,              0.0009605,              0.0009605
                    108,                0.70772,                0.64214,                0.92046,                0.99656,                      1,                  0.995,                0.74652,                0.96754,                0.61457,                 1.0646,              0.0009506,              0.0009506,              0.0009506
                    109,                0.68081,                0.59349,                0.87104,                0.99655,                      1,                  0.995,                0.76002,                0.86745,                0.58189,                 1.0288,              0.0009407,              0.0009407,              0.0009407
                    110,                0.59536,                0.60732,                0.87913,                0.99616,                      1,                  0.995,                 0.7793,                0.83764,                0.55418,                 1.0167,              0.0009308,              0.0009308,              0.0009308
                    111,                 0.6614,                0.58595,                0.89422,                0.99599,                      1,                  0.995,                 0.7818,                0.85658,                0.55164,                 1.0175,              0.0009209,              0.0009209,              0.0009209
                    112,                0.69484,                0.60864,                 0.8921,                0.99608,                      1,                  0.995,                0.78727,                0.83729,                0.54881,                0.99735,               0.000911,               0.000911,               0.000911
                    113,                 0.7203,                0.60218,                0.90036,                0.99592,                      1,                  0.995,                0.79664,                0.85957,                0.54731,                0.99853,              0.0009011,              0.0009011,              0.0009011
                    114,                0.66537,                0.64539,                0.89638,                0.99547,                      1,                  0.995,                0.77885,                0.86476,                0.55332,                 1.0104,              0.0008912,              0.0008912,              0.0008912
                    115,                 0.7275,                0.59636,                0.88961,                0.99626,                      1,                  0.995,                0.78753,                0.84461,                0.55407,                 1.0002,              0.0008813,              0.0008813,              0.0008813
                    116,                0.64257,                0.59328,                0.88447,                0.99634,                      1,                  0.995,                0.78929,                0.84788,                0.53543,                0.99377,              0.0008714,              0.0008714,              0.0008714
                    117,                0.71172,                0.62574,                0.88252,                0.99647,                      1,                  0.995,                0.76667,                0.86764,                0.55255,                 1.0043,              0.0008615,              0.0008615,              0.0008615
                    118,                0.66497,                0.60327,                 0.8731,                 0.9964,                      1,                  0.995,                0.78137,                0.85789,                0.54253,                 1.0009,              0.0008516,              0.0008516,              0.0008516
                    119,                0.63688,                0.59109,                0.87708,                0.99646,                      1,                  0.995,                0.79756,                0.82685,                 0.5159,                 0.9906,              0.0008417,              0.0008417,              0.0008417
                    120,                0.64429,                0.59513,                0.86902,                0.99667,                      1,                  0.995,                0.79921,                  0.849,                0.51671,                 1.0014,              0.0008318,              0.0008318,              0.0008318
                    121,                0.64708,                0.59386,                0.89052,                0.99684,                      1,                  0.995,                0.78742,                0.85472,                0.50809,                0.99381,              0.0008219,              0.0008219,              0.0008219
                    122,                0.58953,                0.54529,                0.86328,                 0.9971,                      1,                  0.995,                0.79417,                0.82403,                0.50422,                0.97853,               0.000812,               0.000812,               0.000812
                    123,                0.55964,                0.55603,                0.86329,                0.99732,                      1,                  0.995,                0.78505,                0.80749,                0.48652,                0.97505,              0.0008021,              0.0008021,              0.0008021
                    124,                0.63775,                0.56372,                0.88276,                 0.9976,                      1,                  0.995,                0.79715,                0.80295,                0.49723,                0.97317,              0.0007922,              0.0007922,              0.0007922
                    125,                0.70938,                0.60911,                0.89197,                0.99747,                      1,                  0.995,                0.79284,                0.82972,                 0.5191,                0.97833,              0.0007823,              0.0007823,              0.0007823
                    126,                0.63681,                0.55987,                0.86961,                  0.997,                      1,                  0.995,                0.78333,                 0.8263,                0.55259,                0.98396,              0.0007724,              0.0007724,              0.0007724
                    127,                0.64037,                 0.5721,                0.90088,                0.99628,                      1,                  0.995,                0.80082,                0.80165,                0.54888,                0.98319,              0.0007625,              0.0007625,              0.0007625
                    128,                0.65769,                0.57988,                0.88254,                0.99631,                      1,                  0.995,                0.80023,                0.76792,                0.53099,                0.97354,              0.0007526,              0.0007526,              0.0007526
                    129,                 0.5965,                0.55189,                0.84447,                0.99615,                      1,                  0.995,                0.78854,                  0.796,                0.53803,                0.98147,              0.0007427,              0.0007427,              0.0007427
                    130,                0.61322,                0.59441,                0.87279,                0.99626,                      1,                  0.995,                0.79852,                0.80953,                0.53445,                0.99298,              0.0007328,              0.0007328,              0.0007328
                    131,                0.63365,                0.59595,                0.86413,                0.99619,                      1,                  0.995,                0.80851,                0.77403,                0.51287,                0.98524,              0.0007229,              0.0007229,              0.0007229
                    132,                0.56353,                0.53226,                0.86024,                0.99615,                      1,                  0.995,                0.81353,                0.76948,                 0.5037,                 0.9903,               0.000713,               0.000713,               0.000713
